stat,window,avg_type,mae,rmse,r2
FG2A,27.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,28.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,29.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,30.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,31.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,32.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,33.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,34.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,35.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,36.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,37.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,38.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,39.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,40.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,41.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,42.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,43.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,44.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,45.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,46.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,47.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,48.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,49.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,50.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG3M,17.0,ewma,2.726079139597744,3.433343397142901,0.2815973839660536
FG3M,18.0,ewma,2.723756778009445,3.430398953959178,0.28282906306141586
FG3M,19.0,ewma,2.7218156733324954,3.427919296971223,0.283865499473157
FG3M,20.0,ewma,2.7201721792967892,3.425830738909666,0.2847378845611145
FG3M,21.0,ewma,2.7187744306386707,3.4240738496062546,0.2854713207588252
FG3M,22.0,ewma,2.717588231972704,3.4226002074726916,0.28608622162188724
FG3M,23.0,ewma,2.7165798794728846,3.421369995820843,0.2865993444843593
FG3M,24.0,ewma,2.7157113643094926,3.420350199211795,0.2870245631219144
FG3M,25.0,ewma,2.7149876606785255,3.419513232676927,0.28737345346049437
FG3M,26.0,ewma,2.7144032269058376,3.4188358876931315,0.28765574288428697
FG3M,27.0,ewma,2.7139064456737203,3.4182985129773873,0.28787965869728005
FG3M,28.0,ewma,2.7134829968262357,3.4178843714543867,0.28805220111056584
FG3M,29.0,ewma,2.7131525002951387,3.4175791308663044,0.2881793591049985
FG3M,30.0,ewma,2.7129109371241342,3.417370456805602,0.28826628260442966
FG3M,31.0,ewma,2.712728741211775,3.4172476849968527,0.2883174209093474
